00:00:09.659287 DCon05   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:00:09.675132 DCon04   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Running)}, preserve=false aResultDetail=0
00:00:09.783110 DCon04   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:09.786659 DCon04   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:00:30.281847 DCon03   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:30.284916 DCon03   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:02:30.298583 DCon11   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:02:31.985039 DCon06   Saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:02:32.518104 DCon06   Finished saving settings file "/home/joao/.config/VirtualBox/VirtualBox.xml"
00:02:53.052353 DCon02   Saving settings file "/home/joao/VirtualBox VMs/WIndows/WIndows.vbox" with version "1.19-linux"
00:02:53.060113 DCon02   Finished saving settings file "/home/joao/VirtualBox VMs/WIndows/WIndows.vbox"
00:02:53.097981 DCon06   Saving settings file "/home/joao/VirtualBox VMs/WIndows/WIndows.vbox" with version "1.19-linux"
00:02:53.101072 DCon06   Finished saving settings file "/home/joao/VirtualBox VMs/WIndows/WIndows.vbox"
00:02:53.151260 DCon02   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
